,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z
2023-06-10 09:42:07.578849500,0.3911612,0.865076,0.3148999,0.008662603,0.00023115706,0.0021687346,,0.0,0,0,0,1,0,-131.96458,8.762526,-187.88312
2023-06-10 09:42:08.078849500,0.3915912,0.864491,0.3140674,0.0057470854,0.0061129164,-0.0017872583,,,0,0,0,1,0,-131.85971,8.926924,-188.32082
2023-06-10 09:42:08.578849500,0.39279547,0.86448485,0.3134233,0.008412937,0.0009758408,0.0013920557,,0.0,0,0,0,1,0,-131.86919,8.842755,-188.21852
2023-06-10 09:42:09.078849500,0.39385042,0.8657953,0.3130182,0.00036296726,0.0024382328,-0.018973337,,,0,0,0,1,0,-131.84729,8.885692,-188.17114
2023-06-10 09:42:09.578849500,0.3834198,0.8691046,0.3110379,0.011999969,-0.0040177726,-0.015687058,,0.0,0,0,0,1,0,-132.2894,8.864493,-188.46207
2023-06-10 09:42:10.078849500,0.37419564,0.8705133,0.31541255,-0.00021515136,0.022724295,-0.014715158,,,0,0,0,1,0,-132.7108,8.647743,-188.42326
2023-06-10 09:42:10.578849500,0.36991975,0.87356627,0.3169208,0.008492114,-0.0014009585,-0.0058992333,,0.0,0,0,0,1,0,-133.08766,8.654877,-188.19397
2023-06-10 09:42:11.078849500,0.3680697,0.87402964,0.31267843,0.0060262326,-0.033961754,-0.002732009,,,0,0,0,1,0,-132.81561,8.540452,-187.79318
2023-06-10 09:42:11.578849500,0.37298036,0.87349,0.30752838,0.010290566,0.0028369483,-0.018142752,,0.0,0,0,0,1,0,-132.55675,8.627432,-187.8191
2023-06-10 09:42:12.078849500,0.37466857,0.8786627,0.308219,-0.028546695,-0.0020359864,0.013579295,,,0,0,0,1,0,-132.75409,8.466537,-187.72934
2023-06-10 09:42:12.578849500,0.3685449,0.86766833,0.3271973,-0.014830968,-0.0038756775,-0.010162654,68.0,0.0,0,0,0,1,0,-132.57535,8.006961,-187.16873
2023-06-10 09:42:13.078849500,0.37576842,0.8697803,0.32236207,0.0066426373,-0.0015476217,-0.001352593,,,0,0,0,1,0,-132.39131,7.8951054,-187.04213
