,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z
2023-06-10 10:24:11.078849500,0.9926309,0.5330597,-0.14702775,0.34088266,-0.0013297724,0.29754305,113.42857142857143,1,0,0,0,0,-85.650894,-21.747032,-205.76227
2023-06-10 10:24:12.078849500,1.0722766,0.50537527,-0.1771308,0.024756094,-0.03433003,0.056254126,113.0,1,0,0,0,0,-84.84102,-21.748058,-207.06009
2023-06-10 10:24:13.078849500,1.0893613,0.4388058,-0.139533,-0.16086791,0.13474655,-0.20924748,113.0,1,0,0,0,0,-83.382904,-27.270615,-206.0762
2023-06-10 10:24:14.078849500,0.976792,0.64565843,-0.1368753,-0.05717719,-0.1456036,-0.55805945,113.16666666666667,1,0,0,0,0,-87.05541,-18.999887,-206.94746
2023-06-10 10:24:15.078849500,0.88594854,0.6975859,-0.10489832,0.26156643,-0.17651589,-0.18455505,113.33333333333333,1,0,0,0,0,-88.49899,-14.619185,-203.3585
2023-06-10 10:24:16.078849500,0.9358394,0.50751024,-0.12653805,-0.14349426,-0.12095564,-0.11961287,113.5,1,0,0,0,0,-84.980995,-23.640749,-203.3512
2023-06-10 10:24:17.078849500,0.90737545,0.48332462,-0.0615165,0.34819058,0.16877733,0.032481223,113.66666666666667,1,0,0,0,0,-85.86655,-21.729555,-203.56921
2023-06-10 10:24:18.078849500,0.90550125,0.52899414,-0.037164003,-0.33677828,-0.17190132,-0.12259775,113.83333333333333,1,0,0,0,0,-88.72991,-21.186426,-200.44983
2023-06-10 10:24:19.078849500,0.96564895,0.59125775,-0.036569,-0.08615645,0.049124163,0.10175031,114.0,1,0,0,0,0,-88.70702,-24.028002,-201.67511
2023-06-10 10:24:20.078849500,1.0294856,0.5542117,-0.12701263,0.21913363,0.08822651,0.18841851,114.125,1,0,0,0,0,-86.01101,-28.349052,-202.16
2023-06-10 10:24:21.078849500,0.9813933,0.53594285,-0.16129425,0.30491516,0.233653,0.024765784,114.25,1,0,0,0,0,-83.652306,-26.440735,-206.27907
2023-06-10 10:24:22.078849500,0.9286428,0.49713013,-0.096354164,-0.18258408,0.035975683,0.19390813,114.375,1,0,0,0,0,-84.521706,-24.630564,-202.4727
2023-06-10 10:24:23.078849500,0.9919213,0.5250317,-0.070772424,0.13091864,0.22718586,0.22172225,114.5,1,0,0,0,0,-85.48253,-23.242037,-204.5663
2023-06-10 10:24:24.078849500,1.0261018,0.4955162,0.008684845,0.21115826,0.2665613,-0.010354115,114.625,1,0,0,0,0,-89.234146,-21.13116,-202.10857
2023-06-10 10:24:25.078849500,1.020733,0.49089327,-0.013501254,0.18608879,-0.11207544,-0.09544694,114.75,1,0,0,0,0,-90.95794,-17.594257,-202.41942
2023-06-10 10:24:26.078849500,1.0008323,0.49249575,-0.10621027,0.06710301,0.122081555,-0.41029167,114.875,1,0,0,0,0,-89.4575,-15.363428,-202.55576
2023-06-10 10:24:27.078849500,0.96932495,0.53229886,-0.068431705,0.261571,0.065664016,-0.24008146,115.0,1,0,0,0,0,-93.13589,-8.181835,-200.94377
2023-06-10 10:24:28.078849500,0.91866267,0.53749365,-0.039732963,0.19681747,0.057024047,-0.10486198,115.0,1,0,0,0,0,-93.28311,-5.6705947,-204.4939
2023-06-10 10:24:29.078849500,0.9138612,0.53167075,-0.060211953,-0.068779804,0.02453104,0.0039107744,114.14285714285714,1,0,0,0,0,-92.36106,-7.2228045,-203.64975
2023-06-10 10:24:30.078849500,1.0557896,0.38294128,-0.1223201,1.1438942,0.3188461,0.97943276,113.28571428571429,1,0,0,0,0,-96.044815,-12.585096,-208.3496
2023-06-10 10:24:31.078849500,0.90021926,-0.22503416,-0.1253468,0.39997357,-0.09120199,0.549318,112.42857142857143,1,0,0,0,0,-96.10872,-37.663967,-240.18771
2023-06-10 10:24:32.078849500,0.97447574,-0.03400768,-0.314385,-2.3769019,0.7609198,-0.7333594,111.57142857142857,1,0,0,0,0,-83.23267,-28.839655,-222.83034
2023-06-10 10:24:33.078849500,1.0713787,0.41979733,-0.16834143,0.28430092,-0.009267498,0.7338045,110.71428571428571,1,0,0,0,0,-88.34314,-14.001808,-207.17627
2023-06-10 10:24:34.078849500,0.28420335,-0.44142625,-0.6085254,-0.53500825,-0.71378154,0.7312948,109.85714285714286,1,0,0,0,0,-104.927025,-66.75622,-242.55899
2023-06-10 10:24:35.078849500,0.021162553,-0.65313876,-0.7959794,0.030273901,-0.13292924,0.17911227,109.0,1,0,0,0,0,-117.91918,-75.02244,-244.15924
2023-06-10 10:24:36.078849500,0.0072513158,-0.59561867,-0.8057513,-0.1418022,0.18926936,0.11183481,110.0,1,0,0,0,0,-117.80334,-74.17346,-245.72453
2023-06-10 10:24:37.078849500,0.11942856,-0.45978165,-0.84646195,-0.011003571,-0.025979003,-0.15360591,111.0,1,0,0,0,1,-114.43614,-69.84712,-250.23232
2023-06-10 10:24:38.078849500,0.04681628,-0.2776204,-0.8617381,-0.42048085,0.11667404,-0.24065039,112.0,0,0,0,0,1,-112.23497,-63.99472,-253.67519
