,bpm,time
729,109.0,1686220720000000000
730,111.0,1686220726000000000
731,113.0,1686220995000000000
732,117.0,1686220998000000000
733,115.0,1686221006000000000
734,116.0,1686221010000000000
735,116.0,1686221016000000000
736,115.0,1686221020000000000
737,118.0,1686221023000000000
738,119.0,1686221028000000000
739,111.0,1686221111000000000
740,111.0,1686221127000000000
741,109.0,1686221134000000000
742,111.0,1686221139000000000
743,109.0,1686221140000000000
744,94.0,1686221149000000000
745,64.0,1686221754000000000
746,67.0,1686222171000000000
747,73.0,1686222242000000000
748,67.0,1686222673000000000
749,66.0,1686222814000000000
750,68.0,1686223211000000000
751,73.0,1686223664000000000
752,72.0,1686223854000000000
753,68.0,1686224139000000000
754,73.0,1686224563000000000
755,69.0,1686224712000000000
756,80.0,1686224952000000000
757,85.0,1686224957000000000
758,84.0,1686224958000000000
759,72.0,1686224967000000000
760,67.0,1686224972000000000
761,74.0,1686225130000000000
762,67.0,1686225391000000000
763,76.0,1686225511000000000
764,68.0,1686236151000000000
765,69.0,1686236193000000000
766,71.0,1686236198000000000
767,71.0,1686236199000000000
768,75.0,1686236208000000000
769,72.0,1686236213000000000
770,72.0,1686236216000000000
771,74.0,1686236219000000000
772,74.0,1686236247000000000
773,76.0,1686236252000000000
774,76.0,1686236255000000000
775,77.0,1686236485000000000
776,73.0,1686236628000000000
777,91.0,1686237077000000000
778,81.0,1686237188000000000
779,75.0,1686237335000000000
780,89.0,1686237499000000000
781,93.0,1686237587000000000
782,91.0,1686237588000000000
783,94.0,1686237597000000000
784,85.0,1686237602000000000
785,85.0,1686237604000000000
786,88.0,1686237611000000000
787,90.0,1686237615000000000
788,88.0,1686237619000000000
789,86.0,1686237625000000000
790,88.0,1686237630000000000
791,87.0,1686237633000000000
792,87.0,1686237642000000000
793,85.0,1686237646000000000
794,85.0,1686237650000000000
795,83.0,1686237657000000000
796,83.0,1686237658000000000
797,82.0,1686237663000000000
798,83.0,1686237668000000000
799,86.0,1686237677000000000
800,84.0,1686237681000000000
801,82.0,1686237685000000000
802,83.0,1686237688000000000
803,87.0,1686237693000000000
804,89.0,1686237702000000000
805,89.0,1686237706000000000
806,87.0,1686237712000000000
807,86.0,1686237713000000000
808,86.0,1686237720000000000
809,88.0,1686237726000000000
810,88.0,1686237731000000000
811,86.0,1686237737000000000
812,87.0,1686237738000000000
813,87.0,1686237743000000000
814,89.0,1686237752000000000
815,90.0,1686237754000000000
816,88.0,1686237762000000000
817,88.0,1686237763000000000
818,86.0,1686237770000000000
819,86.0,1686237773000000000
820,85.0,1686237778000000000
821,88.0,1686237787000000000
822,87.0,1686237792000000000
823,88.0,1686237796000000000
824,89.0,1686237798000000000
825,88.0,1686237803000000000
826,89.0,1686237811000000000
827,89.0,1686237813000000000
828,91.0,1686237820000000000
829,90.0,1686237826000000000
830,90.0,1686237829000000000
831,89.0,1686237836000000000
832,87.0,1686237838000000000
833,90.0,1686237846000000000
834,88.0,1686237851000000000
835,87.0,1686237853000000000
836,84.0,1686237862000000000
837,85.0,1686237864000000000
838,82.0,1686237868000000000
839,80.0,1686237875000000000
840,72.0,1686237881000000000
841,75.0,1686237887000000000
842,75.0,1686237891000000000
843,75.0,1686237893000000000
844,75.0,1686237898000000000
845,72.0,1686237907000000000
846,74.0,1686237911000000000
847,73.0,1686237913000000000
848,70.0,1686237919000000000
849,76.0,1686237923000000000
850,77.0,1686237932000000000
851,71.0,1686237935000000000
852,69.0,1686238058000000000
853,75.0,1686238124000000000
854,79.0,1686238282000000000
855,94.0,1686238390000000000
856,89.0,1686238395000000000
857,89.0,1686238398000000000
858,89.0,1686238403000000000
859,88.0,1686238406000000000
860,90.0,1686238411000000000
861,97.0,1686238420000000000
862,97.0,1686238421000000000
863,96.0,1686238426000000000
864,94.0,1686238431000000000
865,97.0,1686238438000000000
866,95.0,1686238441000000000
867,88.0,1686238450000000000
868,87.0,1686238451000000000
869,83.0,1686238460000000000
870,86.0,1686238465000000000
871,84.0,1686238470000000000
872,83.0,1686238471000000000
873,86.0,1686238476000000000
874,82.0,1686238483000000000
875,82.0,1686238486000000000
876,84.0,1686238492000000000
877,80.0,1686238500000000000
878,83.0,1686238505000000000
879,84.0,1686238508000000000
880,83.0,1686238511000000000
881,82.0,1686238516000000000
882,87.0,1686238525000000000
883,89.0,1686238530000000000
884,90.0,1686238531000000000
885,87.0,1686238540000000000
886,88.0,1686238545000000000
887,89.0,1686238549000000000
888,89.0,1686238555000000000
889,87.0,1686238560000000000
890,87.0,1686238561000000000
891,87.0,1686238566000000000
892,90.0,1686238572000000000
893,88.0,1686238577000000000
894,86.0,1686238581000000000
895,88.0,1686238590000000000
896,87.0,1686238595000000000
897,87.0,1686238596000000000
898,80.0,1686238605000000000
899,81.0,1686238607000000000
900,79.0,1686238614000000000
901,77.0,1686238618000000000
902,77.0,1686238625000000000
903,77.0,1686238626000000000
904,75.0,1686238634000000000
905,75.0,1686238636000000000
906,81.0,1686238901000000000
907,79.0,1686238982000000000
908,71.0,1686239092000000000
909,89.0,1686239256000000000
910,127.0,1686239393000000000
911,74.0,1686239971000000000
912,78.0,1686240239000000000
913,78.0,1686240565000000000
914,80.0,1686241313000000000
915,72.0,1686241318000000000
916,74.0,1686241323000000000
917,76.0,1686241328000000000
918,79.0,1686241389000000000
919,85.0,1686241401000000000
920,82.0,1686241406000000000
921,84.0,1686241410000000000
922,85.0,1686241412000000000
923,94.0,1686241421000000000
924,95.0,1686241426000000000
925,95.0,1686241427000000000
926,90.0,1686241436000000000
927,89.0,1686241437000000000
928,89.0,1686241446000000000
929,89.0,1686241447000000000
930,91.0,1686241456000000000
931,87.0,1686241460000000000
932,86.0,1686241463000000000
933,83.0,1686241471000000000
934,82.0,1686241476000000000
935,82.0,1686241477000000000
936,82.0,1686241482000000000
937,74.0,1686241491000000000
938,77.0,1686241496000000000
939,76.0,1686241498000000000
940,73.0,1686241502000000000
941,69.0,1686241511000000000
942,69.0,1686241512000000000
943,84.0,1686241521000000000
944,84.0,1686241522000000000
945,72.0,1686241531000000000
946,71.0,1686241536000000000
947,72.0,1686241537000000000
948,75.0,1686241546000000000
949,71.0,1686241550000000000
950,67.0,1686241556000000000
951,66.0,1686241560000000000
952,71.0,1686241566000000000
953,70.0,1686241571000000000
954,71.0,1686241572000000000
955,72.0,1686241577000000000
956,70.0,1686241582000000000
957,64.0,1686241591000000000
958,63.0,1686241596000000000
959,63.0,1686241597000000000
960,68.0,1686241604000000000
961,67.0,1686241611000000000
962,66.0,1686241612000000000
963,65.0,1686241617000000000
964,70.0,1686241622000000000
965,74.0,1686241631000000000
