,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z
2023-06-10 09:50:55.578849500,0.598262,0.73382324,0.012857971000000001,0.64591265,-0.5609757,-0.47215652,,0.26582068,1,0,0,0,0,-94.84087,-9.28955,-235.86937999999998
2023-06-10 09:50:56.078849500,0.5218384,0.7608048000000001,0.092009254,-0.5843409,1.2133441,-0.018632233,,,1,0,0,0,0,-100.05276500000001,1.3600273999999999,-224.22357000000002
2023-06-10 09:50:56.578849500,0.35190704,1.0547162,0.30777282,0.73261344,-0.038678885,0.48239719999999997,,0.15464938,1,0,0,0,0,-101.14343000000001,6.348558000000001,-208.43254
2023-06-10 09:50:57.078849500,0.66368866,0.5966577,-0.47061616,0.030605506,-2.8404993999999997,2.6676629000000003,,,1,0,0,0,0,-102.27764,-18.719835,-250.6131
2023-06-10 09:50:57.578849500,0.496644,-0.15562533,-0.67354846,0.23208803,-0.7574263000000001,1.2899143999999998,77.0,0.8479819,1,0,0,0,0,-124.61403999999999,-36.82328,-266.92316
2023-06-10 09:50:58.078849500,0.17008972,-0.23168121,-0.96193236,0.13113803,0.07409635,1.12186,,,1,0,0,0,0,-138.59125,-39.647079999999995,-265.28238
2023-06-10 09:50:58.578849500,0.48616302,-0.2752304,-0.7817470999999999,-1.2056473,2.7037284,0.60468525,,0.44742405,1,0,0,0,0,-105.52458999999999,-34.493885,-255.82466000000002
2023-06-10 09:50:59.078849500,0.7531604000000001,-0.12819064,-0.18786589999999997,0.2903929,1.1120222,-1.0560758999999997,,,1,0,0,0,0,-82.739784,-22.006242999999998,-225.10483
2023-06-10 09:50:59.578849500,1.1433847,0.33921477,0.33146970000000003,1.5542272,1.1438813,-1.1347688,,0.14333045,1,0,0,0,0,-108.24513999999999,6.1245875,-220.79122999999998
2023-06-10 09:51:00.078849500,0.97172666,0.78282136,-0.21977539999999998,0.5912689999999999,1.2752373,2.4525330000000003,,,1,0,0,0,0,-89.31038000000001,-16.006266,-225.00652999999997
2023-06-10 09:51:00.578849500,1.0991296,0.6872599,0.14499119,-0.9689634,-2.0028589,-2.352852,,1.219794,1,0,0,0,0,-95.36546,-8.482691,-228.06485
2023-06-10 09:51:01.078849500,1.0656214,0.6027057,0.13326874,0.71404874,0.31273340000000005,1.2019916000000002,,,1,0,0,0,0,-109.12591,8.580010000000001,-224.99777000000003
2023-06-10 09:51:01.578849500,0.7454845999999999,0.92600405,-0.1270279,0.666053,-0.09744741,-1.5142229,,1.1693381,1,0,0,0,0,-92.98002,-3.8403442,-234.93752999999998
2023-06-10 09:51:02.078849500,0.9038559000000002,0.78070974,-0.12453601,-0.39306933,-0.65150774,0.5709685,,,1,0,0,0,0,-132.01117,7.066574,-251.68181
2023-06-10 09:51:02.578849500,0.6510305999999999,0.72489107,-0.16328552,0.3093033,1.0471337,1.0491291,79.0,1.2101906999999998,1,0,0,0,0,-80.78061,-8.650243,-254.12207
2023-06-10 09:51:03.078849500,1.0018531,0.15880911,-0.1276404,-0.84695923,-1.7345905,0.1735879,,,1,0,0,0,0,-95.90306,24.820726,
2023-06-10 09:51:03.578849500,0.77042603,0.4035312,-0.28194854,1.3122551000000002,1.1615905,-0.009815266,80.0,1.6108228999999998,1,0,0,0,0,-79.97546,-59.269676000000004,
2023-06-10 09:51:04.078849500,1.0447203999999999,0.5266852,-0.087322384,-1.6325473999999998,-0.97033495,-1.5442805,,,1,0,0,0,0,,-81.86895,
2023-06-10 09:51:04.578849500,1.1348236,0.62671083,-0.054944407,1.4734447,1.0024779000000001,2.190905,,1.4047239,1,0,0,0,0,-78.41029,-57.37124300000001,-268.8423
2023-06-10 09:51:05.078849500,0.9602933000000001,0.5250741999999999,0.06018646,-0.84917927,-1.1540698,-2.3057156,,,1,0,0,0,0,-90.239975,-52.896416,-215.36485
2023-06-10 09:51:05.578849500,1.1758405,0.67098695,0.017918397,0.51184636,0.7553798,1.0819406999999999,,1.0274725,1,0,0,0,0,-94.50158,-30.552788,-209.9718
2023-06-10 09:51:06.078849500,0.7364645000000001,0.86839545,-0.02445361,0.36204895,0.15386935,-1.3703201,,,1,0,0,0,0,-121.71463,-13.983188,-180.43454
2023-06-10 09:51:06.578849500,0.92278045,0.7284589,0.12986603,-0.67277396,-1.5340753999999999,0.09370021,,1.2844418,1,0,0,0,0,-122.389824,-14.77325,
